Time,Latitude,Longitude,Altitude,Relative Altitude,Heading
1732131759.6524477,39.0181074,-104.8931434,2184.76,19.672,196.03
1732131759.7908113,39.018065,-104.893163,2185.46,20.379,198.45
1732131760.683172,39.018065,-104.893163,2185.46,20.379,198.45
1732131760.8002634,39.0180317,-104.8931808,2186.23,21.147,203.26
1732131761.681193,39.0180317,-104.8931808,2186.23,21.147,203.26
1732131761.8068397,39.0180054,-104.8931976,2187.17,22.083,209.55
1732131762.6912427,39.0180054,-104.8931976,2187.17,22.083,209.55
1732131762.8095515,39.0179851,-104.8932162,2188.08,22.998,213.89
1732131763.6913085,39.0179851,-104.8932162,2188.08,22.998,213.89
1732131763.8159955,39.0179682,-104.8932326,2189.08,23.993,218.31
1732131764.6926033,39.0179682,-104.8932326,2189.08,23.993,218.31
1732131764.8223712,39.0179555,-104.8932473,2189.2,24.116,217.77
1732131765.6963367,39.0179555,-104.8932473,2189.2,24.116,217.77
1732131765.8328295,39.0179473,-104.8932567,2189.2,24.115,221.85
1732131766.697219,39.0179473,-104.8932567,2189.2,24.115,221.85
1732131766.8349998,39.0179424,-104.8932655,2189.34,24.251,226.54
1732131767.7337396,39.0179424,-104.8932655,2189.34,24.251,226.54
1732131767.8542523,39.017938,-104.8932758,2189.47,24.389,234.78
1732131768.874449,39.0179344,-104.893289,2189.59,24.502,238.12
1732131768.9219675,39.0179344,-104.893289,2189.59,24.502,238.12
1732131769.8892012,39.0179332,-104.8933036,2189.47,24.386,243.72
1732131770.1487958,39.0179332,-104.8933036,2189.47,24.386,243.72
1732131770.7494764,39.0179332,-104.8933036,2189.47,24.386,243.72
1732131770.9105942,39.0179346,-104.8933212,2189.45,24.362,305.96
1732131771.7592058,39.0179346,-104.8933212,2189.45,24.362,305.96
1732131771.920381,39.0179429,-104.8933412,2189.63,24.547,328.97
1732131772.7519972,39.0179429,-104.8933412,2189.63,24.547,328.97
1732131772.9233239,39.0179668,-104.8933384,2190.01,24.92,325.77
1732131773.7680242,39.0179668,-104.8933384,2190.01,24.92,325.77
1732131773.9291701,39.0179952,-104.8933275,2190.51,25.427,330.96
1732131774.7740986,39.0179952,-104.8933275,2190.51,25.427,330.96
1732131774.9352393,39.0180255,-104.8933148,2190.86,25.775,333.99
1732131775.8302577,39.0180255,-104.8933148,2190.86,25.775,333.99
1732131775.949504,39.0180611,-104.893284,2191.17,26.08,338.06
1732131776.7965934,39.0180611,-104.893284,2191.17,26.08,338.06
1732131776.9577584,39.0180977,-104.8932376,2191.66,26.576,343.67
1732131777.813282,39.0180977,-104.8932376,2191.66,26.576,343.67
1732131777.9808862,39.01813,-104.8931891,2192.04,26.957,324.3
1732131778.824106,39.01813,-104.8931891,2192.04,26.957,324.3
1732131778.9967968,39.0181914,-104.8931416,2191.49,26.409,283.73
1732131779.8426275,39.0181914,-104.8931416,2191.49,26.409,283.73
1732131780.0114381,39.0182484,-104.8931537,2191.56,26.476,291.46
1732131780.869395,39.0182484,-104.8931537,2191.56,26.476,291.46
1732131781.0305128,39.0183116,-104.8932136,2191.51,26.429,300.88
1732131781.8842843,39.0183116,-104.8932136,2191.51,26.429,300.88
1732131782.0456452,39.018381,-104.8932936,2191.41,26.327,309.99
1732131782.8909607,39.018381,-104.8932936,2191.41,26.327,309.99
1732131783.0522895,39.0184566,-104.893384,2189.85,24.759,313.08
1732131783.9084325,39.0184566,-104.893384,2189.85,24.759,313.08
1732131784.0696316,39.0185432,-104.8934914,2187.86,22.77,307.14
1732131784.9000678,39.0185432,-104.8934914,2187.86,22.77,307.14
1732131785.1341937,39.0186218,-104.8935935,2187.37,22.28,304.58
